Date,Country,Region,Region Code,lat,long,Region code,ISO Code,Map Region,Population,Area,Total Cases,Deaths,Recovered,Tests,Active Cases,Hospitalized,Quarantined,Intensive Care,Other Hospitalized,Prev Total Cases,Prev Deaths,Prev Recovered,Prev Tests,Prev Active Cases,Prev Hospitalized,Prev Quarantined,Prev Intensive Care,Prev Other Hospitalized,Previous Daily Cases,Daily Cases,Daily Deaths,Daily Recovered,Daily Tests,Daily Active Cases,Daily Hospitalized,Daily Quarantined,Daily Intensive Care,Daily Other Hospitalized,Weekly Cases,Weekly Deaths,Weekly Recovered,Weekly Tests,Weekly Active Cases,Weekly Hospitalized,Weekly Quarantined,Weekly Intensive Care,Weekly Other Hospitalized,New cases in last 3 days,Test in last 3 days,Last Update,note_it,note_en
2020-02-19,ITA,Lazio,12,41.89277044,12.48366722,12,IT-62,Lazio,5879082,17232,3,0,0,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-19 18:00:00,,
2020-02-20,ITA,Lombardia,3,45.46679409,9.190347404,3,IT-25,Lombardia,10060574,23864,1,0,0,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-20 18:00:00,,
2020-02-20,ITA,Lazio,12,41.89277044,12.48366722,12,IT-62,Lazio,5879082,17232,3,0,0,,3,,,1,,3,0,0,,3,,,1,,,0,0,0,,,,,0,,,,,,,,,,,,,2020-02-20 18:00:00,,
2020-02-21,ITA,Lombardia,3,45.46679409,9.190347404,3,IT-25,Lombardia,10060574,23864,16,1,0,,15,,,5,,1,0,0,,1,,,1,,,15,1,0,,,,,4,,,,,,,,,,,,,2020-02-21 18:00:00,,
2020-02-21,ITA,Veneto,5,45.43490485,12.33845213,5,IT-34,Veneto,4905854,18020,2,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-21 18:00:00,,
2020-02-21,ITA,Lazio,12,41.89277044,12.48366722,12,IT-62,Lazio,5879082,17232,3,0,1,,2,,,1,,3,0,0,,3,,,1,,0,0,0,1,,,,,0,,,,,,,,,,,,,2020-02-21 18:00:00,,
2020-02-22,ITA,Lombardia,3,45.46679409,9.190347404,3,IT-25,Lombardia,10060574,23864,54,1,0,,53,,,18,,16,1,0,,15,,,5,,15,38,0,0,,,,,13,,,,,,,,,,,,,2020-02-22 18:00:00,,
2020-02-22,ITA,Veneto,5,45.43490485,12.33845213,5,IT-34,Veneto,4905854,18020,18,1,0,,17,,,,,2,0,0,,2,,,,,,16,1,0,,,,,,,,,,,,,,,,,,2020-02-22 18:00:00,,
2020-02-22,ITA,Emilia-Romagna,8,44.49436681,11.341720800000001,8,IT-45,Emilia-Romagna,4489477,22453,3,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-22 18:00:00,,
2020-02-22,ITA,Piemonte,1,45.0732745,7.680687483,1,IT-21,Piemonte,4356406,25387,1,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-22 18:00:00,,
2020-02-22,ITA,Lazio,12,41.89277044,12.48366722,12,IT-62,Lazio,5879082,17232,3,0,1,,2,,,1,,3,0,1,,2,,,1,,0,0,0,0,,,,,0,,,,,,,,,,,0,,2020-02-22 18:00:00,,
2020-02-23,ITA,Lombardia,3,45.46679409,9.190347404,3,IT-25,Lombardia,10060574,23864,114,2,0,,112,,,19,,54,1,0,,53,,,18,,38,60,1,0,,,,,1,,,,,,,,,,,113,,2020-02-23 18:00:00,,
2020-02-23,ITA,Veneto,5,45.43490485,12.33845213,5,IT-34,Veneto,4905854,18020,25,1,0,,24,,,4,,18,1,0,,17,,,,,16,7,0,0,,,,,,,,,,,,,,,,,,2020-02-23 18:00:00,,
2020-02-23,ITA,Emilia-Romagna,8,44.49436681,11.341720800000001,8,IT-45,Emilia-Romagna,4489477,22453,9,0,0,,9,,,2,,3,0,0,,3,,,,,,6,0,0,,,,,,,,,,,,,,,,,,2020-02-23 18:00:00,,
2020-02-23,ITA,Piemonte,1,45.0732745,7.680687483,1,IT-21,Piemonte,4356406,25387,3,0,0,,3,,,0,,1,0,0,,1,,,,,,2,0,0,,,,,,,,,,,,,,,,,,2020-02-23 18:00:00,,
2020-02-23,ITA,Lazio,12,41.89277044,12.48366722,12,IT-62,Lazio,5879082,17232,3,0,1,,2,,,1,,3,0,1,,2,,,1,,0,0,0,0,,,,,0,,,,,,,,,,,0,,2020-02-23 18:00:00,,
2020-02-23,ITA,P.A. Bolzano,4,46.49933453,11.35662422,4,IT-32,Trentino-Alto Adige,533050,7400,3,0,0,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-23 18:00:00,,
2020-02-24,ITA,Abruzzo,13,42.35122196,13.39843823,13,IT-65,Abruzzo,1311580,10832,0,0,0,5,0,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2020-02-24 18:00:00,,
2020-02-24,ITA,Basilicata,17,40.63947052,15.80514834,17,IT-77,Basilicata,562869,10073,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2020-02-24 18:00:00,,
